listing,price_in_usd,vendor,origin,destination,drug category,type of product,description,num_feedback,average_ rating
5F-MMB-2201,24,fetaisbetter,UK,UK,Synthetic cannabinoid,concentrate,"Synthetic cannabinoid which can be diluted and used to make spice type smoking mix, vape oil, prison paper whateverÄÄ

Red powder.",0,0
*SALE* 100MG / Purple Champagne / Dispensary Grade Shatter,10,treborcannabis,UK,UK,cannabis,concentrate,100MG of the finest BHO/ SHATTER ready to hit straight into your shatter rig / dabbing nail / Vape pen.,0,0
*SALE* 100MG / Purple Champagne / Dispensary Grade Shatter,10,treborcannabis,UK,UK,cannabis,concentrate,100MG of the finest BHO/ SHATTER ready to hit straight into your shatter rig / dabbing nail / Vape pen.,0,0
"1g TKO Extracts Cart, various flavours and 1 x H6 Battery Mod with a 510 thread",50,thcdoctor42,US,worldwide,cannabis,cartridge,"TKO Extracts Carts are available in the following flavours: OG Cookie (hybrid), Skittles (hybrid), Tangie (sativa), Biscotti (indica), Lime OG (indica), Platinum OG (hybrid)

H6 Battery Mod fits for almost all of the vape cartridges in the market. 350mAh grade A chip battery, reliable quality can be guaranteed. Ultra portbale with great handle feeling. Universal USB charging, very convenient. Complete premium vape kit bring you quality vaping. Fastest shipping available.",0,0
"Special Off** 5 x 1g Moonrock Original Vape Tanks, Multi Pack, Various Flavors",200,thcdoctor42,US,worldwide,Synthetic cannabinoid,cartridge,"This SPECIAL OFFER is for a selection of 5, 1g Moonrock Original Vape Tanks. Your choice of 5 tanks with your choice of mix and match flavors.You can choose from the following: Moonrock Clear Cartridge, Bobby Blue Moonrock Clear Cartridge, Lynwood Lemonade Moonrock Clear Cartridge, Razzle Dazzle Moonrock Clear Cartridge, Silverback Clear Moonrock Clear Cartridge, Original

** PLEASE NOTE ** If no details are left in the order notes or message then we will select the 5 for you, so please be sure to let us know what you would like?

Dr. Zodiakês Moonrock Clear OG is a high end THC distillate that tests approximately 90%. The 1 gram cartridge is manufactured with a multi-step method of cannabis purification, infused with all natural terpenes.",0,0
"1 x ** 1g Organic Smart Cart, various flavours and 1 x H6 Battery Mod with a 510 thread *",50,thcdoctor42,US,worldwide,cannabis,cartridge,"This listing is for 1 x 1g Organic Smart Cart and 1 x H6 Battery mod with a 510 thread

Organic Smart Cart are available in the following flavours: Purple Punch (indica), King Louis XIII (indica), Sour Diesel (Hybrid), XXX OG (Indica), Mimosa (hybrid), Skywalker OG (hybrid), Blue Cookies (hybrid)

H6 Battery Mod fits for almost all of the vape cartridges in the market. 350mAh grade A chip battery, reliable quality can be guaranteed. Ultra portbale with great handle feeling. Universal USB charging, very convenient. Complete premium vape kit bring you quality vaping. Fastest shipping available.",0,0
4f-adb Synthetic Cannabinoid 1g,24,fetaisbetter,UK,UK,Synthetic cannabinoid,concentrate,"Replaces 5F-ADB. Synthetic cannabinoid which can be diluted and used to make spice type smoking mix, vape oil, prison paper whateverÄÄ

Slightly yellow powder.",0,0
1g SILVERBACK GORILLA GLUE CARTS,24,exoticpacks,US,US,cannabis,cartridge,"DR.ZODIAKêS SILVERBACK CLEAR. Creative Highway Design. The fake ones, however, may come off with weaker THC and lower vape quality. take time to observe before you buy. we have the original Moonrock clear cart",0,0
"0.5g Brass Knuckles Cart, various flavours and 1 x H6 Battery Mod with a 510 thread **",40,thcdoctor42,US,worldwide,cannabis,cartridge,"This listing is for 1 x 0.5g Brass Knuckles Cart and 1 x H6 Battery mod with a 510 thread

Brass Knuckles Carts are available in the following flavours: Skywalker og (indica), Gg4 (hybrid), Strawberry Cough (indica), Forbidden fruits (hybrid), Gushers (hybrid), Jack Herer (sativa), Napalm (indica), Sour diesel (sativa), Blue dream (sativa), Do so dos (indica), Blueberry (indica), Tahoe OG (indica), Tangie (sativa), Banana (hybrid)

H6 Battery Mod fits for almost all of the vape cartridges in the market. 350mAh grade A chip battery, reliable quality can be guaranteed. Ultra portbale with great handle feeling. Universal USB charging, very convenient. Complete premium vape kit bring you quality vaping. Fastest shipping available.",0,0
Jack Herer Vape Cartridge 500mg,300,mary-jane,US,worldwide,cannabis,cartridge,"Hybrid - Sativa Dominant

Taste: Citrus

Named after renowned cannabis activist and author, Jack Herer is elevating and creativity enhancing. Its stimulating and joyous sativa-sensory dominant effects set the scene for profound aromatics and flavors of citrus.",0,0
